Location,SubReg,Country,lat,long,NotStart6,Pop6,NotECCE3_5, Pop3_5,NotSch3_6,PerNot3_6,OutSch6_12 ,Pop6_12,OutSch13_17, Pop13_17,SchLeave6_17, PerSchLv6_17 ,NEET18_30N,NEET18_30P ,NEET15_24N ,NEET15_24P,Subsistence Economy,GridElec, OpenDefec,HH_Num,TotPop,MobOwnTot, HH_TV,HlthInsur
Abim,Karamoja,Uganda,2.7161309,33.6637951,2506,4513,11644,14927,14150,72.8,9719,27625,5915,16926,15634,35.1,22270,59,15373,47.5,21790,930,10048,39942,144084,5710,1824,1196
Adjumani,Madi,Uganda,3.22034,31.81701,6225,10210,17974,28847,24199,62,16453,62943,11017,43327,27470,25.8,39589,57.3,29626,41.8,26360,2823,6119,54103,297894,10732,3716,4510
Agago,Acholi,Uganda,2.833056,33.34,5668,9453,23538,29788,29206,74.4,19736,62929,12835,41286,32571,31.3,40209,57.1,30432,44.2,38200,2264,19524,67760,307235,8742,3086,2751
Alebtong,Lango,Uganda,2.23749,33.26944,5037,7604,17412,25267,22449,68.3,14489,51841,12958,36678,27447,31,38873,59.5,29438,47.5,30281,617,4475,59384,283509,4474,2294,2209
Amolatar,Lango,Uganda,1.638383,32.84737,3579,5636,10836,17466,14415,62.4,7817,36381,7969,24303,15786,26,27118,60.2,20554,48.7,17889,966,4290,39948,188715,4380,2617,888
Amudat,Karamoja,Uganda,1.953842,34.9457755,7130,7910,23718,25265,30848,93,34240,39932,16699,19610,50939,85.6,37898,66.6,27672,64.8,33497,687,32348,42310,203358,3133,1371,1856
Amuria,Teso,Uganda,2.032565,33.6448462,4045,7919,17212,26179,21257,62.3,10783,51294,9353,32579,20136,24,34597,59.5,25780,46.2,23940,1006,6809,47550,251653,5644,1825,741
Amuru,Acholi,Uganda,2.85633,31.4444,4797,7317,17428,22528,22225,74.5,18000,46258,12916,29765,30916,40.7,37202,62.6,29546,54.1,33442,1395,7350,58410,240814,6519,3205,1924
Apaa,Apaa,Uganda,3.20709,32.15624,207,273,663,774,870,83.1,923,1597,544,902,1467,58.7,1710,75,1287,69,1550,6,529,2551,9456,120,45,17
Apac,Lango,Uganda,1.9847397,32.5342155,3498,5572,12163,19283,15661,63,10353,39574,10966,27978,21319,31.6,38931,68.6,29616,57.5,27672,1640,4661,52327,221962,4245,3081,1372
